"","state","year","e85","total","ratio_e85"
"351","Pennsylvania","2013",33,429,7.69230769230769
"352","Rhode Island","2013",1,163,0.613496932515337
"353","South Carolina","2013",82,417,19.6642685851319
"354","South Dakota","2013",87,119,73.109243697479
"355","Tennessee","2013",52,1073,4.84622553588071
"356","Texas","2013",81,2231,3.63065889735545
"357","Utah","2013",3,200,1.5
"358","Vermont","2013",1,480,0.208333333333333
"359","Virginia","2013",19,60,31.6666666666667
"360","Washington","2013",24,1476,1.6260162601626
"361","West Virginia","2013",4,430,0.930232558139535
"362","Wisconsin","2013",115,63,182.539682539683
"363","Wyoming","2013",9,52,17.3076923076923
"364","Total","2013",2616,27314,9.57750604085817
"365","Alabama","2014",32,259,12.3552123552124
"366","Alaska","2014",0,8,0
"367","Arizona","2014",30,999,3.003003003003
"368","Arkansas","2014",43,155,27.741935483871
"369","California","2014",94,7758,1.21165248775458
"370","Colorado","2014",86,647,13.2921174652241
"371","Connecticut","2014",3,399,0.75187969924812
"372","Delaware","2014",1,37,2.7027027027027
"373","District of Columbia","2014",3,146,2.05479452054794
"374","Florida","2014",62,1446,4.28769017980636
"375","Georgia","2014",52,836,6.2200956937799
"376","Hawaii","2014",3,449,0.66815144766147
"377","Idaho","2014",8,78,10.2564102564103
"378","Illinois","2014",234,1200,19.5
"379","Indiana","2014",188,629,29.8887122416534
"380","Iowa","2014",210,353,59.4900849858357
"381","Kansas","2014",25,263,9.50570342205323
"382","Kentucky","2014",62,225,27.5555555555556
"383","Louisiana","2014",8,136,5.88235294117647
"384","Maine","2014",0,61,0
"385","Maryland","2014",34,723,4.70262793914246
"386","Massachusetts","2014",9,788,1.14213197969543
"387","Michigan","2014",220,1050,20.952380952381
"388","Minnesota","2014",278,780,35.6410256410256
"389","Mississippi","2014",3,161,1.86335403726708
"390","Missouri","2014",101,381,26.509186351706
"391","Montana","2014",2,70,2.85714285714286
"392","Nebraska","2014",80,160,50
"393","Nevada","2014",21,330,6.36363636363636
"394","New Hampshire","2014",1,88,1.13636363636364
"395","New Jersey","2014",5,306,1.63398692810458
"396","New Mexico","2014",14,140,10
"397","New York","2014",83,1336,6.2125748502994
"398","North Carolina","2014",23,967,2.37849017580145
"399","North Dakota","2014",77,104,74.0384615384615
"400","Ohio","2014",128,501,25.5489021956088
"401","Oklahoma","2014",25,321,7.78816199376947
"402","Oregon","2014",7,1071,0.65359477124183
